"","SpeciesBinomial","SourceList"
"47","Aythya valisineria","(29, 27)"
"48","Bucephala albeola","(29, 5, 27)"
"49","Pinicola enucleator","(29, 5, 27)"
"50","Dryocopus pileatus","(29, 5, 27)"
"51","Podiceps grisegena","(29, 5, 27)"
"52","Butorides virescens","(29, 5, 27)"
"53","Geothlypis formosa","(29, 27)"
"54","Vireo solitarius","(29, 5, 27, 27)"
"55","Dryobates pubescens","(29, 27)"
"56","Aix sponsa","(29, 5, 27)"
"57","Accipiter striatus","(29, 5, 27)"
"58","Calcarius lapponicus","(29, 5, 27)"
"59","Icteria virens","(29, 27)"
"60","Poecile atricapillus","(29, 5)"
"61","Setophaga caerulescens","(29, 5, 27)"
"62","Anas acuta","(29, 5, 27)"
"63","Anas rubripes","(29, 5, 27)"
"64","Vireo gilvus","(29, 5, 27)"
"65","Cyanocitta cristata","(29, 5, 27)"
"66","Anas discors","(29, 5)"
"67","Setophaga ruticilla","(29, 5, 27)"
"68","Bubo virginianus","(29, 5, 27)"
"69","Pipilo erythrophthalmus","(29, 5, 27)"
"70","Petrochelidon pyrrhonota","(29, 5, 27)"
"71","Hesperiphona vespertina","29"
"72","Melanerpes erythrocephalus","(29, 5, 27)"
"73","Calidris pusilla","(29, 5, 27)"
"74","Loxia leucoptera","(29, 5, 27)"
"75","Empidonax flaviventris","(29, 5, 27)"
"76","Falco sparverius","(29, 5, 27)"
"77","Poecile hudsonicus","29"
"78","Anas penelope","29"
"79","Botaurus lentiginosus","(29, 5, 27)"
"80","Arenaria interpres","(29, 5, 27)"
"81","Ammodramus savannarum","29"
"82","Plectrophenax nivalis","(29, 5, 27)"
"83","Leuconotopicus villosus","29"
"84","Sterna paradisaea","(29, 5)"
"85","Vireo olivaceus","(29, 5, 27)"
"86","Setophaga petechia","(29, 5, 27)"
"87","Melospiza lincolnii","(29, 5, 27)"
"88","Melospiza georgiana","(29, 5, 27)"
"89","Passerculus sandwichensis","(29, 5, 27)"
"90","Mergus serrator","(29, 5, 27)"
"91","Bombycilla cedrorum","(29, 5, 27)"
"92","Calidris melanotos","(29, 5, 27)"
"93","Cistothorus palustris","(29, 5, 27)"
"94","Coccyzus erythropthalmus","(29, 5, 27)"
"95","Icterus spurius","(29, 5, 27)"
"96","Cathartes aura","(29, 5, 27)"
"97","Fulica americana","(29, 5, 27)"
"98","Colaptes auratus","(29, 5, 27)"
"99","Melanitta fusca","(29, 5)"
"100","Spizella pusilla","(29, 5, 27)"
"101","Oceanodroma leucorhoa","(29, 5)"
"102","Empidonax minimus","(29, 5, 27)"
"103","Anas crecca","(29, 5, 27)"
"104","Corvus brachyrhynchos","(29, 5, 27)"
"105","Thryothorus ludovicianus","(29, 5, 27)"
"106","Lanius ludovicianus","(29, 27)"
"107","Pandion haliaetus","(29, 5, 27)"
"108","Aegolius acadicus","(29, 5, 27)"
"109","Zonotrichia leucophrys","29"
"110","Passerina cyanea","(29, 5, 27)"
"111","Picoides dorsalis","(29, 27)"
"112","Leiothlypis ruficapilla","(29, 27)"
"113","Corvus corax","(29, 5, 27)"
"114","Chordeiles minor","(29, 5, 27)"
"115","Euphagus carolinus","(29, 5, 27)"
"116","Empidonax alnorum","(29, 5, 27)"
"117","Accipiter gentilis","(29, 5, 27)"
"118","Sayornis phoebe","(29, 5, 27)"
"119","Cygnus columbianus","(29, 27)"
"120","Mniotilta varia","(29, 5, 27)"
"121","Oxyura jamaicensis","(29, 5, 27)"
"122","Eremophila alpestris","(29, 5, 27)"
"123","Aegolius funereus","(29, 27)"
"124","Lophodytes cucullatus","(29, 5, 27)"
"125","Setophaga virens","(29, 5, 27)"
"126","Setophaga coronata","(29, 5, 27)"
"127","Pooecetes gramineus","(29, 5)"
"128","Spinus tristis","(29, 27)"
"129","Contopus cooperi","(29, 5)"
"130","Setophaga magnolia","(29, 5, 27)"
"131","Bartramia longicauda","(29, 5, 27)"
"132","Dolichonyx oryzivorus","(29, 5, 27)"
"133","Podilymbus podiceps","(29, 5, 27)"
"134","Nycticorax nycticorax","(29, 5, 27)"
"135","Riparia riparia","(29, 5, 27)"
"136","Aythya collaris","(29, 5, 27)"
"137","Vireo philadelphicus","(29, 5, 27)"
"138","Pheucticus ludovicianus","(29, 5, 27)"
"139","Gavia immer","(29, 5, 27)"
"140","Surnia ulula","(29, 5, 27)"
"141","Gallinago gallinago","29"
"142","Clangula hyemalis","(29, 5, 27)"
"143","Pluvialis dominica","(29, 5, 27)"
"144","Geothlypis philadelphia","(29, 27)"
"145","Mergus merganser","(29, 5, 27)"
"146","Phasianus colchicus","(29, 5, 27)"
"147","Chordeiles gundlachii","29"
"148","Sitta carolinensis","(29, 5, 27)"
"149","Bucephala clangula","(29, 5, 27)"
"150","Charadrius semipalmatus","(29, 5, 27)"
"151","Pluvialis squatarola","(29, 5, 27)"
"152","Sitta canadensis","(29, 5, 27)"
"153","Spinus pinus","(29, 27)"
"154","Larus marinus","(29, 5, 27)"
"155","Lanius excubitor","(29, 5)"
"156","Charadrius melodus","(29, 27)"
"157","Piranga olivacea","(29, 5, 27)"
"158","Coccyzus americanus","(29, 5, 27)"
"159","Loxia curvirostra","(29, 5, 27)"
"160","Bonasa umbellus","(29, 5, 27)"
"161","Calidris alba","(29, 5, 27)"
"162","Tringa solitaria","(29, 5, 27)"
"163","Setophaga palmarum","(29, 5, 27)"
"164","Haliaeetus leucocephalus","(29, 5, 27)"
"165","Toxostoma rufum","(29, 5, 27)"
"166","Accipiter cooperii","(29, 5, 27)"
"167","Setophaga tigrina","(29, 5, 27)"
"168","Circus cyaneus","(29, 5)"
"169","Bubo scandiacus","(29, 5, 27)"
"170","Megaceryle alcyon","(29, 5, 27)"
"171","Buteo platypterus","(29, 5, 27)"
"172","Chaetura pelagica","(29, 5, 27)"
"173","Setophaga fusca","(29, 5, 27)"
"174","Sphyrapicus varius","(29, 5, 27)"
"175","Scolopax minor","(29, 5, 27)"
"176","Tringa flavipes","(29, 5, 27)"
"177","Empidonax hammondii","(29, 27)"
"178","Junco hyemalis","(29, 5, 27)"
"179","Acanthis flammea","(29, 27)"
"180","Aythya affinis","29"
"181","Asio flammeus","(29, 27)"
"182","Melanitta nigra","(29, 5)"
"183","Asio otus","(29, 5, 27)"
"184","Colinus virginianus","(29, 5, 27)"
"185","Ammodramus caudacutus","29"
"186","Calidris canutus","(29, 5, 27)"
"187","Larus glaucoides","(29, 5, 27)"
"188","Melanitta perspicillata","(29, 5, 27)"
"189","Ardea herodias","(29, 5, 27)"
"190","Anas platyrhynchos","(29, 5, 27)"
"191","Ammodramus henslowii","29"
"192","Calidris maritima","(29, 5, 27)"
"193","Numenius americanus","(29, 5, 27)"
"194","Chen caerulescens","(29, 5)"
"195","Oporornis agilis","(29, 27)"
"196","Egretta caerulea","(29, 5, 27)"
"197","Chroicocephalus philadelphia","(29, 27)"
"198","Somateria mollissima","(29, 5, 27)"
"199","Chlidonias niger","(29, 5)"
"200","Nyctanassa violacea","(29, 5, 27)"
"201","Philomachus pugnax","29"
"202","Numenius phaeopus","(29, 5, 27)"
"203","Ardea alba","(29, 5, 27, 27)"
"204","Aythya marila","(29, 5, 27)"
"205","Tyrannus savana","(29, 27)"
"206","Oceanites oceanicus","(29, 5)"
"207","Empidonax virescens","(29, 27)"
"208","Limosa haemastica","(29, 27)"
"209","Anas clypeata","29"
"210","Gavia stellata","(29, 5, 27)"
"211","Piranga rubra","(29, 5, 27)"
"212","Leucophaeus atricilla","(29, 27)"
"213","Ixobrychus exilis","(29, 5, 27)"
"214","Setophaga pinus","(29, 5, 27)"
"215","Larus delawarensis","(29, 5, 27)"
"216","Limnodromus griseus","(29, 5, 27)"
"217","Numenius borealis","(29, 27)"
"218","Sterna dougallii","(29, 5, 27)"
"219","Calidris fuscicollis","(29, 5)"
"220","Perisoreus canadensis","(29, 5, 27)"
"221","Gallinula chloropus","(29, 5)"
"222","Phalaropus tricolor","(29, 5, 27)"
"223","Falco rusticolus","(29, 27)"
"224","Stercorarius pomarinus","(29, 27)"
"225","Zonotrichia querula","(29, 27)"
"226","Tryngites subruficollis","29"
"227","Puffinus gravis","(29, 5)"
"228","Cardinalis cardinalis","(29, 5, 27)"
"229","Zonotrichia albicollis","(29, 5, 27)"
"230","Columba livia","(29, 5, 27)"
"231","Melanerpes carolinus","(29, 5, 27)"
"232","Meleagris gallopavo","(29, 5, 27)"
"233","Rallus limicola","(29, 5, 27)"
"234","Falco peregrinus","(29, 5, 27)"
"235","Setophaga pensylvanica","(29, 5, 27)"
"236","Larus argentatus","(29, 5, 27)"
"237","Spizella passerina","(29, 5, 27)"
"238","Cepphus grylle","(29, 5, 27)"
"239","Egretta thula","(29, 5, 27)"
"240","Baeolophus bicolor","29"
"241","Haemorhous mexicanus","29"
"242","Anas americana","(29, 5)"
"243","Anas strepera","29"
"244","Phalacrocorax auritus","(29, 5, 27)"
"245","Dumetella carolinensis","(29, 5, 27)"
"246","Sturnus vulgaris","(29, 5, 27)"
"247","Setophaga striata","(29, 5, 27)"
"248","Sturnella magna","(29, 5, 27)"
"249","Troglodytes hiemalis","(29, 27)"
"250","Sterna hirundo","(29, 5, 27)"
"251","Falco columbarius","(29, 5, 27)"
"252","Phalaropus lobatus","(29, 5, 27)"
"253","Bombycilla garrulus","(29, 5, 27)"
"254","Alca torda","(29, 5, 27)"
"255","Actitis macularius","(29, 5, 27)"
"256","Cygnus olor","(29, 5, 27)"
"257","Buteo lagopus","(29, 5, 27)"
"258","Spiza americana","(29, 5, 27)"
"259","Calidris minutilla","(29, 5, 27)"
"260","Setophaga castanea","(29, 5, 27)"
"261","Haematopus palliatus","(29, 27)"
"262","Catharus fuscescens","(29, 5)"
"263","Morus bassanus","(29, 5, 27)"
"264","Setophaga discolor","(29, 5, 27)"
"265","Piranga ludoviciana","(29, 27)"
"266","Spizelloides arborea","(29, 27)"
"267","Calidris mauri","(29, 27)"
"268","Fratercula arctica","(29, 5, 27)"
"269","Passerella iliaca","(29, 5, 27)"
"270","Somateria spectabilis","(29, 5, 27)"
"271","Lanius borealis","(29, 27)"
"272","Gallinago delicata","(29, 5, 27)"
"273","Tringa semipalmata","(29, 5)"
"274","Larus fuscus","(29, 27)"
"275","Sternula antillarum","(29, 27)"
"276","Calidris alpina","(29, 5, 27)"
"277","Bucephala islandica","(29, 5, 27)"
"278","Anser brachyrhynchus","(29, 27)"
"279","Leiothlypis celata","(29, 27)"
"280","Hydroprogne caspia","(29, 27)"
"281","Stelgidopteryx serripennis","(29, 5, 27)"
"282","Catharus ustulatus","(29, 5, 27)"
"283","Chroicocephalus ridibundus","(29, 27)"
"284","Histrionicus histrionicus","(29, 5, 27)"
"285","Empidonax traillii","(29, 27)"
"286","Catharus minimus","(29, 5)"
"287","Rissa tridactyla","(29, 5, 27)"
"288","Sterna forsteri","(29, 27)"
"289","Polioptila caerulea","(29, 5)"
"290","Antrostomus vociferus","(29, 27)"
"291","Larus hyperboreus","(29, 5, 27)"
"292","Phalacrocorax carbo","(29, 5, 27)"
"293","Plegadis chihi","(29, 27)"
"294","Corvus ossifragus","(29, 27)"
"295","Calidris himantopus","(29, 27)"
"296","Egretta garzetta","(29, 27)"
"297","Phalaropus fulicarius","(29, 27)"
"298","Plegadis falcinellus","(29, 5, 27)"
"299","Catharus bicknelli","(29, 5, 27)"
"300","Porzana carolina","(29, 5, 27)"
"301","Stercorarius parasiticus","(29, 5, 27)"
"302","Parkesia motacilla","(29, 27)"
"303","Megascops asio","(29, 27)"
"304","Puffinus puffinus","(29, 5, 27)"
"305","Vermivora cyanoptera","(29, 27)"
"306","Uria lomvia","(29, 5, 27)"
"307","Chen rossii","29"
"308","Fulmarus glacialis","(29, 5, 27)"
"309","Aquila chrysaetos","(29, 5, 27)"
"310","Limnodromus scolopaceus","(29, 27)"
"311","Aythya americana","(29, 27)"
"312","Uria aalge","(29, 27)"
"313","Ammodramus maritimus","29"
"314","Puffinus griseus","(29, 5)"
"315","Cygnus buccinator","(29, 27)"
"316","Alle alle","(29, 5, 27)"
"317","Anser albifrons","(29, 5, 27)"
"318","Spizella pallida","(29, 27)"
"319","Grus canadensis","29"
"320","Falcipennis canadensis","(29, 5, 27)"
"321","Coturnicops noveboracensis","(29, 27)"
"322","Calonectris diomedea","(29, 5, 27)"
"323","Bubulcus ibis","(29, 5, 27)"
"324","Petrochelidon fulva","(29, 27)"
"325","Passerina caerulea","(29, 5, 27)"
"326","Buteogallus urubitinga","29"
"327","Ammospiza nelsoni","(29, 27)"
"328","Xanthocephalus xanthocephalus","(29, 27)"
"329","Usnea cornuta","29"
"330","Ulota coarctata","(29, 5)"
"331","Eurhynchium hians","29"
"332","Helodium blandowii","29"
"333","Empetrum nigrum","(29, 5)"
"334","Hapalopilus rutilans","29"
"335","Dicranum fulvum","(29, 5)"
"336","Lobaria pulmonaria","(29, 5)"
"337","Zygodon viridissimus","29"
"338","Pyrenula pseudobufonia","(29, 5)"
"339","Umbilicaria americana","(29, 5)"
"340","Lysimachia hybrida","(29, 5)"
"341","Porphyra umbilicalis","(29, 28)"
"342","Chara braunii","29"
"343","Laminaria longicruris","(29, 28)"
"344","Pylaiella littoralis","(29, 28)"
"345","Cladonia incrassata","(29, 5)"
"346","Bryum pseudotriquetrum","(29, 5)"
"347","Fontinalis dalecarlica","(29, 5)"
"348","Cladonia scabriuscula","(29, 5)"
"349","Solidago macrophylla","(29, 5)"
"350","Linnaea borealis","(29, 5)"
"351","Ptilota serrata","(29, 28)"
"352","Callicladium haldanianum","(29, 5)"
"353","Thuidium assimile","29"
"354","Verseghya thysanophora","29"
"355","Danthonia spicata","(29, 5)"
"356","Melanelia stygia","(29, 5)"
"357","Nephromopsis americana","29"
"358","Desmarestia viridis","(29, 28)"
"359","Brachythecium campestre","(29, 5)"
"360","Licrostroma subgiganteum","29"
"361","Rhizocarpon lecanorinum","(29, 5)"
"362","Blidingia minima","(29, 28)"
"363","Dryopteris cristata","(29, 5)"
"364","Dicranum elongatum","29"
"365","Umbilicaria proboscidea","29"
"366","Tolypocladium ophioglossoides","29"
"367","Carex dacica","29"
"368","Parmotrema crinitum","(29, 5)"
"369","Rorippa palustris","(29, 5)"
"370","Phycodrys rubens","(29, 28)"
"371","Rubus flagellaris","(29, 5)"
"372","Polysiphonia stricta","(29, 28)"
"373","Dicranum montanum","(29, 5)"
"374","Juncus brevicaudatus","(29, 5, 17, 19)"
"375","Viburnum edule","(29, 5)"
"376","Leucodon andrewsianus","29"
"377","Andreiomyces morozianus","29"
"378","Cephalozia macounii","29"
"379","Thalictrum thalictroides","(29, 5)"
"380","Agarum turneri","29"
"381","Puccinia cnicioleracei","29"
"382","Symphyotrichum puniceum","(29, 5)"
"383","Armoracia rusticana","(29, 5)"
"384","Bruchia flexuosa","29"
"385","Ramboldia elabens","(29, 5)"
"386","Acer pensylvanicum","(29, 5)"
"387","Dothiora ribesia","29"
"388","Entodon cladorrhizans","29"
"389","Gymnogongrus norvegicus","29"
"390","Vicia cracca","(29, 5)"
"391","Polytrichum juniperinum","(29, 5)"
"392","Sphacelaria cirrosa","(29, 28)"
"393","Bryonectria hylocomii","29"
"394","Pertusaria superiana","29"
"395","Pohlia nutans","(29, 5)"
"396","Cortinarius semisanguineus","29"
"397","Staurastrum alternans","(29, 17, 19)"
"398","Physcomitrium immersum","29"
"399","Cladophora glomerata","(29, 17, 19)"
"400","Petalonia zosterifolia","29"
"401","Polysiphonia fucoides","(29, 28)"
"402","Plagiothecium denticulatum","(29, 5)"
"403","Scagelia pylaisaei","(29, 28)"
"404","Asterophora lycoperdoides","29"
"405","Chara elegans","29"
"406","Calliergon giganteum","29"
"407","Cetrelia olivetorum","(29, 5)"
"408","Cystostereum murrayi","29"
"409","Sphagnum wulfianum","29"
"410","Leimonis erratica","29"
"411","Hypnum andoi","29"
"412","Aralia racemosa","(29, 5)"
"413","Equisetum sylvaticum","(29, 5)"
"414","Fucus evanescens","29"
"415","Stigonema ocellatum","29"
"416","Craterellus tubaeformis","29"
"417","Usnea subgracilis","29"
"418","Ceramium virgatum","(29, 28)"
"419","Sphagnum squarrosum","29"
"420","Urospora penicilliformis","(29, 28)"
"421","Uvularia sessilifolia","(29, 5)"
"422","Cirsium arvense","(29, 5, 14)"
"423","Carex vestita","(29, 5)"
"424","Pycnoporellus fulgens","29"
"425","Juncus canadensis","(29, 5)"
"426","Geum canadense","(29, 5)"
"427","Scutellaria galericulata","(29, 5)"
"428","Tetraspora lubrica","(29, 17, 19)"
"429","Nitella flexilis","(29, 28)"
"430","Hylocomium splendens","(29, 5)"
"431","Colaconema daviesii","29"
"432","Halosiphon tomentosus","(29, 28)"
"433","Nitella tenuissima","29"
"434","Gymnomitrion adustum","29"
"435","Ralfsia clavata","29"
"436","Micrasterias foliacea","29"
"437","Fontinalis sullivantii","(29, 5)"
"438","Uromyces peckianus","29"
"439","Ulva prolifera","(29, 28)"
"440","Lecanora farinaria","29"
"441","Nectria peziza","29"
"442","Calicium glaucellum","(29, 5)"
"443","Ramalina roesleri","(29, 5)"
"444","Brachythecium laetum","29"
"445","Pluteus umbrosus","(29, 5)"
"446","Cladophora vagabunda","(29, 28)"
"447","Actias luna","(29, 5, 10)"
"448","Pseudacris crucifer","(29, 5, 27)"
"449","Pinus strobus","(29, 5, 17, 19)"
"450","Elkalyce comyntas","29"
"451","Notodonta scitipennis","(29, 10)"
"452","Egira dolosa","(29, 10)"
"453","Trillium undulatum","(29, 5)"
"454","Prionus laticollis","29"
"455","Saponaria officinalis","(29, 5)"
"456","Raphanus raphanistrum","(29, 5)"
"457","Polystichum acrostichoides","(29, 5)"
"458","Cypripedium acaule","(29, 5)"
"459","Tamias striatus","(29, 5, 27)"
"460","Haploa clymene","(29, 10)"
"461","Melanoplus bivittatus","29"
"462","Pasiphila rectangulata","(29, 10)"
"463","Fomitopsis betulina","29"
"464","Myrica gale","(29, 5, 17, 19)"
"465","Populus alba","(29, 5, 14)"
"466","Osmundastrum cinnamomeum","(29, 5)"
"467","Chamaenerion angustifolium","29"
"468","Cornus alternifolia","29"
"469","Notophthalmus viridescens","(29, 5)"
"470","Libellula pulchella","(29, 4, 5)"
"471","Panthea acronyctoides","(29, 5, 10)"
"472","Argiope aurantia","(29, 5, 7)"
"473","Lysimachia borealis","(29, 5)"
"474","Dissosteira carolina","(29, 5)"
"475","Amelanchier arborea","(29, 5)"
"476","Houstonia caerulea","(29, 5)"
"477","Rhododendron groenlandicum","(29, 5)"
"478","Ambystoma laterale","(29, 5, 27)"
"479","Kalmia angustifolia","(29, 5, 17, 19)"
"480","Popillia japonica","(29, 5)"
"481","Coptis trifolia","(29, 5)"
"482","Limulus polyphemus","29"
"483","Sylvilagus floridanus","(29, 27)"
"484","Erethizon dorsatus","29"
"485","Oreojuncus trifidus","29"
"486","Betula alleghaniensis","(29, 5, 19)"
"487","Phragmites australis","(29, 5, 14, 17, 19)"
"488","Ilyanassa obsoleta","29"
"489","Achillea millefolium","(29, 5)"
"490","Tautogolabrus adspersus","(29, 1, 5, 26)"
"491","Buccinum undatum","(29, 5, 19)"
"492","Symphyotrichum novaeangliae","(29, 5, 19)"
"493","Chrysemys picta","(29, 5, 27)"
"494","Heptagrotis phyllophora","(29, 5)"
"495","Cornus canadensis","29"
"496","Trillium erectum","(29, 5)"
"497","Alces alces","(29, 5, 27)"
"498","Stenotus binotatus","29"
"499","Hypericum perforatum","(29, 5)"
"500","Urtica dioica","(29, 5)"
"501","Okenia ascidicola","(29, 24)"
"502","Convallaria majalis","(29, 5)"
"503","Tamiasciurus hudsonicus","(29, 5, 27)"
"504","Crassostrea virginica","(29, 5)"
"505","Ilex mucronata","(29, 5, 17, 19)"
"506","Thamnophis sirtalis","(29, 5, 27)"
"507","Actaea pachypoda","(29, 5)"
"508","Potentilla recta","(29, 5)"
"509","Clintonia borealis","(29, 5)"
"510","Castor canadensis","(29, 5, 27)"
"511","Rhus typhina","29"
"512","Speyeria atlantis","(29, 5, 10)"
"513","Picea glauca","(29, 5)"
"514","Maianthemum racemosum","(29, 5)"
"515","Monotropa uniflora","(29, 5)"
"516","Adonisea florida","29"
"517","Campaea perlata","(29, 5, 10)"
"518","Leucanthemum vulgare","(29, 5)"
"519","Erythronium americanum","(29, 5)"
"520","Toxonevra superba","29"
"521","Juniperus communis","(29, 5)"
"522","Thorybes pylades","(29, 5, 10)"
"523","Lestes dryas","(29, 4, 5)"
"524","Brachysomida bivittata","29"
"525","Judolia cordifera","29"
"526","Euonymus alatus","(29, 5, 14)"
"527","Neriene radiata","(29, 7)"
"528","Limenitis arthemis","(29, 5, 10)"
"529","Prunus virginiana","(29, 5)"
"530","Peponapis pruinosa","29"
"531","Pelecinus polyturator","(29, 5)"
"532","Apocynum cannabinum","(29, 5)"
"533","Larinioides sclopetarius","(29, 7)"
"534","Symphyotrichum cordifolium","(29, 5)"
"535","Harmonia axyridis","29"
"536","Lithobates catesbeianus","(29, 5, 27)"
"537","Linaria vulgaris","(29, 5)"
"538","Dianthus armeria","(29, 5)"
"539","Juniperus virginiana","(29, 5)"
"540","Euphyes vestris","(29, 10)"
"541","Mytilus edulis","(29, 5, 19)"
"542","Berberis thunbergii","(29, 5, 14, 19)"
"543","Lithobates sylvaticus","(29, 5, 27)"
"544","Chelidonium majus","(29, 5)"
"545","Lithobates pipiens","(29, 5, 27)"
"546","Crambus agitatellus","(29, 5, 10)"
"547","Morella pensylvanica","29"
"548","Sympetrum costiferum","(29, 4, 5)"
"549","Anaxyrus americanus","(29, 27)"
"550","Hamamelis virginiana","(29, 5)"
"551","Viburnum lentago","(29, 5)"
"552","Chauliognathus pensylvanicus","29"
"553","Storeria dekayi","(29, 5, 27)"
"554","Danaus plexippus","(29, 5, 10)"
"555","Peltigera extenuata","29"
"556","Xanthoria parietina","(29, 5)"
"557","Fentonia marthesia","(29, 5)"
"558","Helocassis clavata","29"
"559","Abies balsamea","(29, 5, 17, 19)"
"560","Euptychia cymela","29"
"561","Trifolium arvense","(29, 5)"
"562","Antheraea polyphemus","(29, 5, 10)"
"563","Elasmucha lateralis","(29, 5)"
"564","Denticollis denticornis","29"
"565","Drepana arcuata","(29, 5, 10)"
"566","Mantis religiosa","(29, 5)"
"567","Tanacetum vulgare","(29, 5)"
"568","Palthis angulalis","(29, 5, 10)"
"569","Semibalanus balanoides","29"
"570","Brasenia schreberi","(29, 5, 17, 19)"
"571","Pachydiplax longipennis","(29, 4, 5, 17, 19)"
"572","Littorina littorea","(29, 5, 14, 19)"
"573","Lathyrus japonicus","(29, 5)"
"574","Dermacentor variabilis","(29, 5)"
"575","Symphoricarpos albus","(29, 5)"
"576","Toxomerus geminatus","(29, 5)"
"577","Solanum carolinense","(29, 5)"
"578","Sorbus americana","(29, 5)"
"579","Orthosoma brunneum","29"
"580","Hericium americanum","29"
"581","Teucrium canadense","(29, 5)"
"582","Eucopina tocullionana","29"
"583","Extrakunia comstocki","29"
"584","Ischnura verticalis","(29, 4, 5)"
"585","Idia americalis","(29, 10)"
"586","Phoca vitulina","(29, 5, 27, 30)"
"587","Alnus incana","(29, 5)"
"588","Parthenocissus quinquefolia","(29, 5, 17, 19)"
"589","Carex lurida","(29, 5, 17, 19)"
"590","Trifolium aureum","(29, 5)"
"591","Temnostoma excentricum","29"
"592","Trifolium repens","(29, 5)"
"593","Exomala orientalis","29"
"594","Trifolium campestre","(29, 5)"
"595","Carex pauciflora","(29, 5)"
"596","Dryopteris intermedia","(29, 5)"
"597","Onoclea sensibilis","(29, 5, 17, 19)"
"598","Maianthemum canadense","(29, 5)"
"599","Chondrus crispus","(29, 5, 28)"
"600","Maianthemum trifolium","(29, 5)"
"601","Epigaea repens","(29, 5)"
"602","Apis mellifera","(29, 5)"
"603","Hepialus gracilis","(29, 5)"
"604","Kalmia procumbens","(29, 5)"
"605","Laportea canadensis","(29, 5)"
"606","Callosamia promethea","(29, 10)"
"607","Chauliodes rastricornis","(29, 5, 17, 19)"
"608","Dryocampa rubicunda","(29, 5, 10)"
"609","Iris pseudacorus","(29, 5, 14)"
"610","Hypericum gentianoides","(29, 5)"
"611","Radulodon copelandii","29"
"612","Pteridium aquilinum","(29, 5)"
"613","Trichiotinus assimilis","29"
"614","Plantago maritima","(29, 5)"
"615","Arctium lappa","(29, 5)"
"616","Tremella mesenterica","29"
"617","Monochamus notatus","(29, 5)"
"618","Gloeophyllum sepiarium","29"
"619","Drosera rotundifolia","(29, 5, 17, 19)"
"620","Charidotella sexpunctata","29"
"621","Claytosmunda claytoniana","29"
"622","Solidago sempervirens","(29, 5)"
"623","Geum urbanum","29"
"624","Desmodium canadense","(29, 5)"
"625","Erigeron strigosus","(29, 5)"
"626","Oenothera biennis","(29, 5)"
"627","Dendrolycopodium obscurum","(29, 5)"
"628","Nuphar variegata","(29, 5)"
"629","Gaylussacia bigeloviana","(29, 5)"
"630","Cancer borealis","(29, 5, 19, 23)"
"631","Taxus canadensis","(29, 5)"
"632","Rudbeckia hirta","(29, 5)"
"633","Crangon septemspinosa","(29, 19)"
"634","Solidago rugosa","(29, 5)"
"635","Plantago lanceolata","(29, 5)"
"636","Aeshna canadensis","(29, 4, 5)"
"637","Pontederia cordata","(29, 5, 17, 19)"
"638","Drosera intermedia","(29, 5, 17, 19)"
"639","Halenia deflexa","(29, 5)"
"640","Phyllodesma americana","(29, 10)"
"641","Gaultheria procumbens","(29, 5)"
"642","Carcinus maenas","(29, 5, 14, 19, 23)"
"643","Clemmys guttata","(29, 5, 18, 27)"
"644","Eulithis explanata","(29, 10)"
"645","Mormonia antinympha","29"
"646","Monarda didyma","(29, 5)"
"647","Dryophytes versicolor","29"
"648","Bartonia paniculata","29"
"649","Acer negundo","(29, 5)"
